time,open,high,low,close,volume
2025-01-02T04:00:00Z,60761.7570,60873.3898,60647.9893,60808.0037,144.3548
2025-01-02T05:00:00Z,60808.0037,61016.3363,60759.0075,60915.5810,146.6276
2025-01-02T06:00:00Z,60915.5810,60986.1250,60871.4389,60906.7182,126.6847
2025-01-02T07:00:00Z,60906.7182,60932.1846,60897.3802,60926.9468,134.9537
2025-01-02T08:00:00Z,60926.9468,61107.3273,60843.2769,60964.7869,138.6299
2025-01-02T09:00:00Z,60964.7869,61033.6322,60746.1065,60890.3982,145.1245
2025-01-02T10:00:00Z,60890.3982,60903.9428,60773.3781,60775.8280,134.6424
2025-01-02T11:00:00Z,60775.8280,60836.4500,60574.1449,60644.8072,126.1624
2025-01-02T12:00:00Z,60644.8072,60651.0901,60562.7130,60639.2554,136.5495
2025-01-02T13:00:00Z,60639.2554,60703.5470,60542.9323,60590.3771,148.9899
2025-01-02T14:00:00Z,60590.3771,60654.2172,60587.5719,60602.1806,121.0458
2025-01-02T15:00:00Z,60602.1806,60690.5752,60473.3045,60675.7253,123.1563
2025-01-02T16:00:00Z,60675.7253,60689.0535,60574.7769,60603.8773,117.0272
2025-01-02T17:00:00Z,60603.8773,60612.2903,60461.1245,60509.5452,120.0933
2025-01-02T18:00:00Z,60509.5452,60584.6627,60463.0366,60534.1373,126.8477
2025-01-02T19:00:00Z,60534.1373,60563.3348,60448.6537,60515.0755,143.4891
2025-01-02T20:00:00Z,60515.0755,60526.6916,60409.7486,60443.0723,103.4611
2025-01-02T21:00:00Z,60443.0723,60445.2006,60382.3554,60384.1491,126.2051
2025-01-02T22:00:00Z,60384.1491,60524.6908,60334.7984,60394.7315,145.8245
2025-01-02T23:00:00Z,60394.7315,60417.7928,60280.9934,60306.4264,136.6533
2025-01-03T00:00:00Z,60306.4264,60412.5622,60283.0208,60395.2154,142.6808
2025-01-03T01:00:00Z,60395.2154,60437.6357,60280.5360,60297.7351,121.2352
2025-01-03T02:00:00Z,60297.7351,60390.1591,60267.9819,60374.4905,131.3625
2025-01-03T03:00:00Z,60374.4905,60417.6756,60330.8330,60348.6245,100.1865
2025-01-03T04:00:00Z,60348.6245,60425.5806,60209.5303,60322.0158,141.5601
2025-01-03T05:00:00Z,60322.0158,60430.0662,60298.4727,60335.5605,106.4307
2025-01-03T06:00:00Z,60335.5605,60473.0537,60320.1557,60458.4713,136.8523
2025-01-03T07:00:00Z,60458.4713,60583.2665,60452.2876,60495.4922,125.0069
2025-01-03T08:00:00Z,60495.4922,60514.0102,60443.2147,60504.3171,135.8539
2025-01-03T09:00:00Z,60504.3171,60673.5953,60460.5413,60664.0970,142.1965
2025-01-03T10:00:00Z,60664.0970,60716.3135,60548.9240,60599.4526,116.0446
2025-01-03T11:00:00Z,60599.4526,60647.6756,60593.4799,60619.8441,129.8665
2025-01-03T12:00:00Z,60619.8441,60683.4858,60410.9636,60430.8967,106.8442
2025-01-03T13:00:00Z,60430.8967,60611.2555,60400.7163,60520.8810,133.3778
2025-01-03T14:00:00Z,60520.8810,60768.9881,60473.9744,60594.2422,133.2874
2025-01-03T15:00:00Z,60594.2422,60844.5625,60571.8062,60825.9460,112.4762
2025-01-03T16:00:00Z,60825.9460,61029.7827,60787.8075,60963.7547,108.7922
2025-01-03T17:00:00Z,60963.7547,61056.3698,60894.5757,61019.4560,100.7892
2025-01-03T18:00:00Z,61019.4560,61033.9548,60928.5473,61003.3921,146.0295
2025-01-03T19:00:00Z,61003.3921,61024.6120,60907.1967,60913.8850,142.3384
2025-01-03T20:00:00Z,60913.8850,60971.6070,60619.9870,60709.5082,145.5645
2025-01-03T21:00:00Z,60709.5082,60772.0938,60534.9997,60539.8063,140.7138
2025-01-03T22:00:00Z,60539.8063,60571.3899,60401.7189,60546.4941,117.2357
2025-01-03T23:00:00Z,60546.4941,60565.2381,60411.9835,60500.1869,130.7222
2025-01-04T00:00:00Z,60500.1869,60607.6388,60419.2118,60603.4224,116.8332
2025-01-04T01:00:00Z,60603.4224,60703.2755,60567.1310,60649.7477,127.9198
2025-01-04T02:00:00Z,60649.7477,60793.3406,60616.7521,60729.9608,131.2940
2025-01-04T03:00:00Z,60729.9608,60792.9625,60717.1917,60731.9437,142.1896
2025-01-04T04:00:00Z,60731.9437,60748.9126,60695.8065,60748.5508,143.9951
2025-01-04T05:00:00Z,60748.5508,60858.8238,60555.9346,60565.4054,104.1964
2025-01-04T06:00:00Z,60565.4054,60588.4697,60508.1832,60538.2932,140.8484
2025-01-04T07:00:00Z,60538.2932,60627.8275,60527.8786,60596.7875,142.5207
2025-01-04T08:00:00Z,60596.7875,60637.6513,60392.6054,60491.3906,145.4999
2025-01-04T09:00:00Z,60491.3906,60528.1120,60401.7081,60501.1879,139.2548
2025-01-04T10:00:00Z,60501.1879,60586.8895,60491.0188,60558.6908,112.7548
2025-01-04T11:00:00Z,60558.6908,60767.8483,60470.6064,60684.4063,115.1474
2025-01-04T12:00:00Z,60684.4063,60705.6177,60617.9513,60646.0834,123.1953
2025-01-04T13:00:00Z,60646.0834,60704.7919,60560.6096,60569.3978,124.2808
2025-01-04T14:00:00Z,60569.3978,60802.5358,60475.7011,60751.4300,134.2740
2025-01-04T15:00:00Z,60751.4300,60797.4902,60547.9442,60637.9220,138.3778
2025-01-04T16:00:00Z,60637.9220,60676.8892,60611.1954,60639.1484,130.1115
2025-01-04T17:00:00Z,60639.1484,60737.1835,60634.4303,60647.1909,115.0983
2025-01-04T18:00:00Z,60647.1909,60667.8288,60643.6852,60665.9351,148.8524
2025-01-04T19:00:00Z,60665.9351,60727.0954,60557.5506,60565.0626,100.9118
2025-01-04T20:00:00Z,60565.0626,60639.9816,60501.5389,60596.6834,100.3429
2025-01-04T21:00:00Z,60596.6834,60664.7302,60307.5170,60363.5248,125.9159
2025-01-04T22:00:00Z,60363.5248,60726.9158,60336.0024,60686.6128,120.8465
2025-01-04T23:00:00Z,60686.6128,60725.6066,60636.5750,60648.1640,108.2415
2025-01-05T00:00:00Z,60648.1640,60679.6547,60522.6774,60554.1145,102.6290
2025-01-05T01:00:00Z,60554.1145,60833.2565,60541.6236,60812.8188,102.5021
2025-01-05T02:00:00Z,60812.8188,61020.5263,60789.9304,60908.5083,138.5398
2025-01-05T03:00:00Z,60908.5083,60944.5197,60529.2684,60575.8254,128.9748
2025-01-05T04:00:00Z,60575.8254,60632.1087,60560.6472,60608.6292,134.1980
2025-01-05T05:00:00Z,60608.6292,60653.5696,60527.2323,60546.3873,145.3382
2025-01-05T06:00:00Z,60546.3873,60722.5631,60498.7421,60668.0537,130.8421
2025-01-05T07:00:00Z,60668.0537,60676.9277,60498.6882,60559.6667,111.5113
2025-01-05T08:00:00Z,60559.6667,60675.0122,60555.0703,60639.2866,140.7009
2025-01-05T09:00:00Z,60639.2866,60770.4062,60613.3658,60728.3230,141.3987
2025-01-05T10:00:00Z,60728.3230,60839.6234,60529.5757,60595.2007,115.7391
2025-01-05T11:00:00Z,60595.2007,60784.9681,60576.5090,60739.2561,128.9251
2025-01-05T12:00:00Z,60739.2561,60817.6057,60720.6527,60765.8790,123.0238
2025-01-05T13:00:00Z,60765.8790,60918.2969,60715.8496,60852.0920,111.2074
2025-01-05T14:00:00Z,60852.0920,60903.6562,60795.7856,60899.9391,111.8934
2025-01-05T15:00:00Z,60899.9391,60973.1199,60799.9775,60833.5275,107.9085
2025-01-05T16:00:00Z,60833.5275,60919.0454,60822.1775,60855.1879,119.8650
2025-01-05T17:00:00Z,60855.1879,60927.4770,60833.0747,60894.2009,128.3867
2025-01-05T18:00:00Z,60894.2009,61020.1466,60746.6272,60994.8766,135.0933
2025-01-05T19:00:00Z,60994.8766,61050.2987,60880.1390,60895.2398,132.8015
2025-01-05T20:00:00Z,60895.2398,61053.3690,60888.0449,61013.9447,138.5887
2025-01-05T21:00:00Z,61013.9447,61045.4954,60747.0487,60865.8861,110.2172
2025-01-05T22:00:00Z,60865.8861,60915.7895,60687.0573,60739.7561,111.7435
2025-01-05T23:00:00Z,60739.7561,60885.7994,60700.9851,60849.7358,114.6960
2025-01-06T00:00:00Z,60849.7358,60879.0536,60581.1867,60596.7512,123.2733
2025-01-06T01:00:00Z,60596.7512,60665.2765,60531.7193,60640.5458,113.1764
2025-01-06T02:00:00Z,60640.5458,60868.1858,60597.3233,60796.1592,101.1739
2025-01-06T03:00:00Z,60796.1592,60913.1279,60752.5419,60891.6069,110.3284
2025-01-06T04:00:00Z,60891.6069,60929.5885,60757.3992,60765.3484,107.1653
2025-01-06T05:00:00Z,60765.3484,60853.9276,60756.9408,60772.9055,118.0968
2025-01-06T06:00:00Z,60772.9055,60986.0250,60729.0826,60893.9587,135.4374
2025-01-06T07:00:00Z,60893.9587,60913.7565,60781.4598,60860.8582,124.8008
2025-01-06T08:00:00Z,60860.8582,61037.7486,60797.5493,60978.4589,122.3354
2025-01-06T09:00:00Z,60978.4589,61051.1497,60949.3501,60997.7681,139.2174
2025-01-06T10:00:00Z,60997.7681,61058.1033,60830.3404,60927.2393,138.4008
2025-01-06T11:00:00Z,60927.2393,60933.1700,60711.5065,60720.0890,142.8530
2025-01-06T12:00:00Z,60720.0890,60845.1658,60637.8592,60790.5524,100.3900
2025-01-06T13:00:00Z,60790.5524,60794.1804,60749.2422,60759.2106,107.9573
2025-01-06T14:00:00Z,60759.2106,60794.0834,60743.8247,60773.2482,116.4131
2025-01-06T15:00:00Z,60773.2482,60894.7334,60671.1803,60700.7533,101.7778
2025-01-06T16:00:00Z,60700.7533,60729.1111,60511.4500,60588.8657,122.5043
2025-01-06T17:00:00Z,60588.8657,60608.7501,60480.3034,60512.5516,115.4882
2025-01-06T18:00:00Z,60512.5516,60557.8506,60484.8001,60526.2205,130.9037
2025-01-06T19:00:00Z,60526.2205,60612.6583,60467.6426,60600.8604,135.7807
2025-01-06T20:00:00Z,60600.8604,60784.7107,60546.3907,60738.3659,121.3354
2025-01-06T21:00:00Z,60738.3659,60746.5339,60559.7385,60577.8230,141.2519
2025-01-06T22:00:00Z,60577.8230,60663.3022,60554.3931,60559.6584,107.2615
2025-01-06T23:00:00Z,60559.6584,60608.6819,60444.5268,60454.8626,119.3840
2025-01-07T00:00:00Z,60454.8626,60604.8879,60367.1238,60494.8900,132.3698
2025-01-07T01:00:00Z,60494.8900,60511.4449,60391.7787,60438.3943,116.9342
2025-01-07T02:00:00Z,60438.3943,60465.9770,60399.0723,60448.8474,122.4290
2025-01-07T03:00:00Z,60448.8474,60600.0146,60347.8071,60517.2724,134.6236
2025-01-07T04:00:00Z,60517.2724,60536.9434,60481.7890,60527.7989,139.6328
2025-01-07T05:00:00Z,60527.7989,60550.2788,60344.0348,60424.1721,132.2720
2025-01-07T06:00:00Z,60424.1721,60473.8021,60255.0984,60365.8284,110.0590
2025-01-07T07:00:00Z,60365.8284,60558.2803,60297.9445,60512.1695,144.7930
2025-01-07T08:00:00Z,60512.1695,60523.7217,60408.5651,60471.7233,132.3085
2025-01-07T09:00:00Z,60471.7233,60537.7393,60384.6670,60469.9984,108.2120
2025-01-07T10:00:00Z,60469.9984,60486.2849,60320.1123,60386.7693,132.8637
2025-01-07T11:00:00Z,60386.7693,60579.7081,60347.7551,60566.5626,103.0738
2025-01-07T12:00:00Z,60566.5626,60665.1795,60534.5946,60593.6118,102.3900
2025-01-07T13:00:00Z,60593.6118,60687.3358,60382.5289,60413.7245,143.4640
2025-01-07T14:00:00Z,60413.7245,60435.8811,60255.6875,60317.4967,111.0497
2025-01-07T15:00:00Z,60317.4967,60636.3589,60257.1619,60602.8461,110.2495
